# Tabler Icons 精选清单（200个）
# 格式: filename.svg | 分类 | 用途描述

## 通用商务概念（50个）
chart-line.svg | business | 增长趋势
chart-arrows.svg | business | 数据分析
target.svg | business | 目标
bolt.svg | business | 加速
refresh.svg | business | 循环刷新
zoom-in.svg | business | 分析放大
check.svg | business | 成功确认
x.svg | business | 失败取消
coin.svg | business | 成本费用
clock.svg | business | 效率时间
trophy.svg | business | 领先优势
lock.svg | business | 安全锁定
shield.svg | business | 防护盾牌
users.svg | business | 团队协作
handshake.svg | business | 合作伙伴
clipboard-check.svg | business | 计划清单
settings.svg | business | 配置管理
tool.svg | business | 工具
package.svg | business | 交付打包
rocket.svg | business | 发布部署
device-desktop.svg | business | 计算机
device-mobile.svg | business | 移动设备
world.svg | business | 网络全球
cloud.svg | business | 云
database.svg | business | 存储数据库
plug.svg | business | 接口连接
arrow-up-right.svg | business | 增长向上
arrow-down.svg | business | 下降
scale.svg | business | 平衡权衡
medal.svg | business | 认证奖章
certificate.svg | business | 证书资质
presentation.svg | business | 演示汇报
chart-pie.svg | business | 占比饼图
chart-bar.svg | business | 柱状对比
timeline.svg | business | 时间线
calendar.svg | business | 日程规划
bell.svg | business | 提醒通知
star.svg | business | 重点关键
bookmark.svg | business | 收藏标记
file-text.svg | business | 文档报告
folder.svg | business | 目录分类
archive.svg | business | 归档存档
download.svg | business | 下载获取
upload.svg | business | 上传提交
share.svg | business | 分享共享
link.svg | business | 链接关联
search.svg | business | 搜索查找
filter.svg | business | 筛选过滤
adjustments.svg | business | 调整优化

## 云计算/IT基础设施（40个）
cloud-computing.svg | cloud | 云计算
server.svg | cloud | 服务器
network.svg | cloud | 网络
router.svg | cloud | 路由器
wifi.svg | cloud | 无线网络
browser.svg | cloud | 浏览器
terminal.svg | cloud | 终端命令行
code.svg | cloud | 代码开发
api.svg | cloud | API接口
webhook.svg | cloud | WebHook
git-branch.svg | cloud | 分支管理
git-merge.svg | cloud | 合并集成
layers.svg | cloud | 架构层次
components.svg | cloud | 组件模块
puzzle.svg | cloud | 拼图集成
brand-docker.svg | cloud | Docker容器
box.svg | cloud | 虚拟化
building.svg | cloud | 私有云数据中心
globe.svg | cloud | 公有云
arrows-exchange.svg | cloud | 混合云交换
cpu.svg | cloud | CPU处理器
cpu-2.svg | cloud | 多核CPU
device-tv.svg | cloud | 显示终端
monitor.svg | cloud | 监控显示器
chart-dots.svg | cloud | 性能监控
eye.svg | cloud | 可视化监控
file-analytics.svg | cloud | 日志分析
key.svg | cloud | 密钥认证
fingerprint.svg | cloud | 指纹认证
shield-check.svg | cloud | 安全检查
firewall.svg | cloud | 防火墙
lock-access.svg | cloud | 访问控制
adjustments-horizontal.svg | cloud | 负载均衡
circle-dashed.svg | cloud | 容灾备份
reload.svg | cloud | 灾备恢复
arrows-split.svg | cloud | 流量分发
binary.svg | cloud | 二进制数据
wave-sine.svg | cloud | 带宽波形
antenna.svg | cloud | 远程接入
speakerphone.svg | cloud | 广播分发

## 汽车行业（25个）
car.svg | automotive | 汽车
car-suv.svg | automotive | SUV越野
car-crane.svg | automotive | 工程车辆
truck.svg | automotive | 卡车货运
bus.svg | automotive | 客车巴士
motorbike.svg | automotive | 摩托车
building-factory.svg | automotive | 工厂制造
robot.svg | automotive | 自动驾驶机器人
battery-charging.svg | automotive | 电池充电
tool-wrench.svg | automotive | 维修保养
ruler.svg | automotive | 设计工程
flask.svg | automotive | 测试实验
microscope.svg | automotive | 研发分析
assembly.svg | automotive | 装配生产线
forklift.svg | automotive | 物流仓储
truck-delivery.svg | automotive | 供应链配送
map-pin.svg | automotive | 定位导航
route.svg | automotive | 路线规划
gauge.svg | automotive | 仪表盘
steering-wheel.svg | automotive | 驾驶控制
engine.svg | automotive | 引擎发动机
gas-station.svg | automotive | 加油站能源
charging-pile.svg | automotive | 充电桩
clipboard-data.svg | automotive | 数据采集
shield-lock.svg | automotive | 车辆安全

## 芯片/半导体（25个）
cpu-chip.svg | chip | 芯片处理器
circuit.svg | chip | 电路
circuit-board.svg | chip | 电路板
dna.svg | chip | 晶圆分子结构
atom.svg | chip | 原子级工艺
microscope-2.svg | chip | EDA显微
bolt-lightning.svg | chip | 高速信号
wave-square.svg | chip | 数字信号
adjustments-code.svg | chip | 仿真调试
calculator.svg | chip | 计算单元
binary-tree.svg | chip | 树形架构
box-multiple.svg | chip | 多核封装
package-import.svg | chip | 导入IP核
package-export.svg | chip | 导出设计
plug-connected.svg | chip | 接口互联
temperature.svg | chip | 热管理
circle-dot.svg | chip | 节点工艺
layers-intersect.svg | chip | 层次堆叠
axis-x.svg | chip | X轴时序
axis-y.svg | chip | Y轴电压
ruler-measure.svg | chip | 精度测量
zoom-check.svg | chip | 验证检查
checklist.svg | chip | 验证清单
file-code.svg | chip | 设计文件
stack.svg | chip | 堆栈存储

## 电子制造（20个）
device-laptop.svg | electronics | 电子设备
devices.svg | electronics | 多设备
device-tablet.svg | electronics | 平板电脑
keyboard.svg | electronics | 键盘外设
mouse.svg | electronics | 鼠标外设
plug-usb.svg | electronics | USB接口
bluetooth.svg | electronics | 蓝牙连接
nfc.svg | electronics | NFC近场
qrcode.svg | electronics | 二维码
barcode.svg | electronics | 条形码
scan.svg | electronics | 扫描识别
printer.svg | electronics | 打印机
3d-cube.svg | electronics | 3D打印
assembly-line.svg | electronics | SMT产线
robot-arm.svg | electronics | 机械臂
magnifying-glass.svg | electronics | 质检放大
clipboard-list.svg | electronics | MES清单
chart-sankey.svg | electronics | 流程图
target-arrow.svg | electronics | 精益目标
arrows-minimize.svg | electronics | 精益压缩

## 新能源（20个）
bolt-energy.svg | energy | 电力能源
battery.svg | energy | 电池储能
battery-eco.svg | energy | 生态电池
solar-panel.svg | energy | 太阳能板
sun.svg | energy | 太阳能
wind.svg | energy | 风能
wind-turbine.svg | energy | 风力发电
charging-station.svg | energy | 充电站
plug-charge.svg | energy | 充电连接
leaf.svg | energy | 绿色环保
plant.svg | energy | 生态植被
recycle.svg | energy | 循环利用
building-community.svg | energy | 电站社区
topology-star.svg | energy | 配电网
arrows-right-left.svg | energy | 双向传输
chart-area.svg | energy | 能耗曲线
dashboard.svg | energy | 能源仪表
device-analytics.svg | energy | 能源分析
adjustments-alt.svg | energy | 能源调度
bulb.svg | energy | 节能照明

## 创新药/医疗（20个）
pill.svg | pharma | 药物
dna-helix.svg | pharma | 基因序列
microscope-lab.svg | pharma | 研发实验
flask-2.svg | pharma | 试剂实验
test-tube.svg | pharma | 试管测试
building-hospital.svg | pharma | 医院
stethoscope.svg | pharma | 医疗诊断
heartbeat.svg | pharma | 心跳监测
vaccine.svg | pharma | 疫苗注射
bandage.svg | pharma | 治疗修复
clipboard-check-medical.svg | pharma | 合规检查
